timestamp_ms,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,filtered_ax,filtered_ay,filtered_az,filtered_gx,filtered_gy,filtered_gz,roll_deg,pitch_deg,yaw_deg,qx,qy,qz,qw,filter_method
122097,-0.11,-0.515,9.857,0.002,0.043,0.008,-0.11,-0.515,9.857,0.002,0.043,0.008,-1.2408527221512489,11.317262761433705,2.9392440481737254,-0.013300632567219244,0.09828670422974631,0.026587787549672816,0.9947139822573018,complementary
122197,-0.093,-0.5,9.862,0.006,0.051,0.006,-0.093,-0.5,9.862,0.006,0.051,0.006,-1.2404071729431427,11.387936266239437,2.973605008680389,-0.01334149920980763,0.09889630915255257,0.0268907333254512,0.9946448677271987,complementary
122297,-0.072,-0.474,9.902,0.007,0.049,0.006,-0.072,-0.474,9.902,0.007,0.049,0.006,-1.231067826925809,11.443893292283963,3.008014818699996,-0.013302362251831292,0.0993802283646833,0.02718528983775289,0.9945891500439477,complementary
122397,-0.124,-0.445,9.874,0.008,0.048,0.006,-0.124,-0.445,9.874,0.008,0.048,0.006,-1.2131628661910416,11.498722211030646,3.0423683206400858,-0.01318888268858343,0.09985642518127984,0.027471698400183216,0.994535094157291,complementary
122497,-0.148,-0.436,9.859,0.007,0.046,0.008,-0.148,-0.436,9.859,0.007,0.046,0.008,-1.2001741224272398,11.544604559577625,3.088272983862988,-0.013126469624973651,0.10025251383601727,0.02786187046500457,0.9944852162998378,complementary
122597,-0.115,-0.479,9.852,0.004,0.046,0.007,-0.115,-0.479,9.852,0.004,0.046,0.007,-1.209397309487875,11.585127811328476,3.12834375028935,-0.013250795656841178,0.10059733900463723,0.028220431633846466,0.9944386351294111,complementary
122697,-0.144,-0.491,9.795,0.006,0.05,0.007,-0.144,-0.491,9.795,0.006,0.05,0.007,-1.2088869406477465,11.651167858256137,3.168474950229488,-0.013296831289089248,0.10116593406606096,0.02857267859582448,0.9943702781660716,complementary
122797,-0.115,-0.498,9.857,0.006,0.047,0.006,-0.115,-0.498,9.857,0.006,0.047,0.006,-1.2088533000912376,11.695458070740752,3.2028599256812735,-0.0133372256201447,0.10154628940396468,0.02887398000132008,0.9943222630515355,complementary
122897,-0.146,-0.481,9.78,0.007,0.048,0.007,-0.146,-0.481,9.78,0.007,0.048,0.007,-1.2017343790413983,11.747767245938247,3.2429095595023436,-0.013323303943674104,0.10199734164866288,0.029218625900877628,0.9942662137320644,complementary
122997,-0.098,-0.433,9.85,0.008,0.046,0.006,-0.098,-0.433,9.85,0.008,0.046,0.006,-1.1829216368335866,11.78362373154449,3.2774378050021586,-0.01319937691562294,0.10230929173610567,0.02950376245067804,0.994227395154021,complementary
